Surname,Caste
Adhikari,Bahun
Alphaltopi,Bahun
Am Gai,Bahun
Arjal,Bahun
Bagyal,Bahun
Bajgai,Bahun
Baral,Bahun
Bharari,Bahun
Bhurtyal,Bahun
Bikral,Bahun
Chanvala Gai,Bahun
Chapagai,Bahun
Dahal,Bahun
Dangal,Bahun
Devakota,Bahun
Dhakal,Bahun
Dhungana,Bahun
Dhurari,Bahun
Doeja,Bahun
Dongyal,Bahun
Dotiyal,Bahun
Dulal,Bahun
Gairaha Pipli,Bahun
Gaithaula,Bahun
Ghartmel,Bahun
Ghartyal,Bahun
Ghurc,Bahun
Khannal,Bahun
Tumrakot,Bahun
Ukniyal,Bahun
Vasta gai,Bahun
Khatiwada,Bahun
Koikyal,Bahun
Koirala,Bahun
Lamsal,Bahun
Loityal,Bahun
Loiyal,Bahun
Maharajila,Bahun
Muthbari,Bahun
Neopanya,Bahun
Nepalya,Bahun
Osti,Bahun
Paneru,Bahun
Parajuli,Bahun
Parijai Kavala,Bahun
Paudyal,Bahun
Pokhrel,Bahun
Punwal,Bahun
Regmi,Bahun
Rijal,Bahun
Rimal,Bahun
Risyal,Bahun
Rukai,Bahun
Rupakheti,Bahun
Sapkota,Bahun
Sattyal,Bahun
Sighdel,Bahun
Simkhara,Bahun
Singyal,Bahun
Soti,Bahun
Sutar,Bahun
Suyal,Bahun
Dhongyal,Bahun/Chettri
Loyal,Bahun/Chettri
Lamsal,Bahun/Chettri
Khukhriyal,Bahun/Chettri
Dangal,Bahun/Chettri
Sikhmiyal,Bahun/Chettri
Bhiryal,Bahun/Chettri
Poudel,Bahun/Chettri
Bikral,Bahun/Chettri
Khanal,Bahun/Chettri
Batyal,Bahun/Chettri
Ganjal,Bahun/Chettri
Sijal,Bahun/Chettri
Chonvala gai,Bahun/Chettri
Amgai,Bahun/Chettri
Bajgai,Bahun/Chettri
Satyagai,Bahun/Chettri
Devakota,Bahun/Chettri
Garhtola,Bahun/Chettri
Soera,Bahun/Chettri
Balya,Bahun/Chettri
Gilal,Bahun/Chettri
Chonial,Bahun/Chettri
Regmi,Bahun/Chettri
Chalatani,Bahun/Chettri
Kelathoni,Bahun/Chettri
Muri bus,Bahun/Chettri
Alphaltopi,Bahun/Chettri
Parijai kavala,Bahun/Chettri
Bamankota,Bahun/Chettri
Porseni,Bahun/Chettri
Homyagai,Bahun/Chettri
Tumrakot,Bahun/Chettri
Rupakheti,Bahun/Chettri
Khatiwada,Bahun/Chettri
Neopanya,Bahun/Chettri
Dahal,Bahun/Chettri
Soti,Bahun/Chettri
Osti,Bahun/Chettri
Kandaraih,Bahun/Chettri
Dhungana,Bahun/Chettri
Pungyal,Bahun/Chettri
Prasai,Bahun/Chettri
Tewari,Bahun/Chettri
Bhattarai,Bahun/Chettri
Khatri khatri,Bahun/Chettri
Satonyaÿ,Bahun/Chettri
Bagyal,Khas Chettri
Thakuryal,Khas Chettri
Palami,Khas Chettri
Suyal,Khas Chettri
Maharajil,Khas Chettri
Lamichhanya,Khas Chettri
Pawar,Khas Chettri
Ghimirya,Khas Chettri
Khulal,Khas Chettri
Parajuli,Khas Chettri
Deoja,Khas Chettri
Gudar,Khas Chettri
Maharji,Khas Chettri
Lakangi,Khas Chettri
Kalikotya,Khas Chettri
Bagalya,Khas Chettri
Khulal,Khas Chettri
Khadka,Khas Chettri
Arjalÿ,Khas Chettri
Baniyaÿ,Khas Chettri
Dani,Khas Chettri
Thapa,Khas Chettri
Khadka,Khas Chettri
Kunwar,Khas Chettri
Bhandari,Khas Chettri
Raghuvansi,Khas Chettri
Lama,Khas Chettri
Sijapati,Khas Chettri
Adhikari,Khas Chettri
Thararai,Khas Chettri
Pokhrel,Khas Chettri
Musiah,Khas Chettri
Khadsena,Khas Chettri
Thakuri,Khas Chettri
Bishta,Khas Chettri
Budathoki,Chettri
Raya,Chettri
Ravat,Chettri
Katwal,Chettri
Khati,Chettri
Maghati,Chettri
Chohan,Chettri
Boghati,Chettri
Savan,Chettri
Mahat,Chettri
Barwal,Chettri
Bohara,Chettri
,Chettri
Dangi,Chettri
Raimanjhi,Chettri
Bhukandi,Chettri
Bhusal,Chettri
Kutal,Chettri
Dikshit,Chettri
Prasai,Chettri
Chokhal,Chettri
Chohara,Chettri
Durrahÿ,Chettri
Chiloti,Chettri
Shaha,Chettri
Shahi,Chettri
Malla,Chettri
Singh,Chettri
Sen,Chettri
Maan,Chettri
Chohan,Chettri
Chand,Chettri
Hamal,Chettri
Ruchal,Chettri
Jiva,Chettri
Rakhsya,Chettri
Samal,Chettri
Uchhai,Chettri
Raika,Chettri
Khan,Chettri
Jalandhari,Chettri
Kalyalÿ,Chettri
Bhusal,Magar
Thapa,Magar
Rana,Magar
Pun,Magar
Aley,Magar
Aslami,Magar
Yahayo,Magar
Saru,Magar
Arghounle,Magar
Gyangmi,Magar
Palami,Magar
Gacha,Magar
Thada,Magar
Byangnasi,Magar
Phyuyali,Magar
Lamichhanya,Magar
Gandharma,Magar
Kyapchaki,Magar
Durralama,Magar
Maski,Magar
Charmi,Magar
Dutt,Magar
Granja,Magar
Namjali,Magar
Marsyandi,Magar
Panthi,Magar
Gelang,Magar
Chumi,Magar
Lengali,Magar
Chituaorai,Magar
Singjali,Magar
Keli,Magar
Jhandi,Magar
Yangdi,Magar
Jhari,Magar
Bareya,Magar
Rijal,Magar
Yangmi,Magar
Suryavansi,Magar
Thokchaki,Magar
Sithung,Magar
Lahakpa,Magar
Pachhai,Magar
Sarangi,Magar
Gonda,Magar
Dukhchaki,Magar
Meng,Magar
Sripali,Magar
Sijapati,Magar
Gharti,Magar
Lamsal,Magar
Suyal,Magar
Rakhalÿ,Magar
Ghale,Gurung
Byapri,Gurung
Vamjan,Gurung
Lama,Gurung
Thathung,Gurung
Gothi,Gurung
Gondok,Gurung
Ghotane,Gurung
Gohori,Gurung
Barahi,Gurung
Gharti,Gurung
Lamichhanya,Gurung
Siddh,Gurung
Karamati,Gurung
Gosti,Gurung
Bagalya,Gurung
Chada,Gurung
Charki,Gurung
Khati,Gurung
Guabari,Gurung
Palamiÿ,Gurung
Pengi,Gurung
Dhakaren,Gurung
Khaptari,Gurung
Ghundane,Gurung
Dharen,Gurung
Jimel,Gurung
Lopate,Gurung
Lothang,Gurung
Bulung,Gurung
Shakya lama,Gurung
Golanya,Gurung
Khangya,Gurung
Tange,Gurung
Ghonya,Gurung
Paindi,Gurung
Mengi,Gurung
Dhalama,Gurung
Kurangi,Gurung
lama,Gurung
Madan,Gurung
Agri,Kami
Acharya,Kami
Aafladhoti,Kami
Wokheda,Kami
Kadara,Kami
Kasara,Kami
Kallohar,Kami
Kalikote,Kami
Kaliraj,Kami
Kumaki,Kami
Kaini,Kami
Koirala,Kami
Koli,Kami
Khadkathoki,Kami
Khapangi,Kami
Khati,Kami
Gajmer,Kami
Gajurel,Kami
Gadal,Kami
Gadaili,Kami
Gahate,Kami
Giri,Kami
Gotame,Kami
Gowa,Kami
Ghatani,Kami
Ghamal,Kami
Gharti,Kami
Ghotle,Kami
Sijapati,Kami
Ghotane,Kami
Chilime,Kami
Tiwari,Kami
Chhistal,Kami
Jandkami,Kami
Thagunna,Kami
Thatera,Kami
Tiruwa,Kami
Dayal,Kami
Dalami,Kami
Darnal,Kami
Dudraj ,Kami
Dural,Kami
Dewal,Kami
Dhamala,Kami
Dhanik,Kami
Niraula,Kami
Nepal,Kami
Panthi,Kami
Portel,Kami
Poudel,Kami
Baraili,Kami
Bunche,Kami
Banskota,Kami
Bipali,Kami
Bhatta,Kami
Bhattarai,Kami
Bhusal,Kami
Mahilipar,Kami
Mar,Kami
Rasali,Kami
Rahpal,Kami
Rajilohar,Kami
Ramdam,Kami
Rijal,Kami
Ruchal,Kami
Raikal,Kami
Lakandri,Kami
Latopi,Kami
Labad,Kami
Lamgade,Kami
Lohani,Kami
Lwagun,Kami
Shahsankar,Kami
Shahoo,Kami
Sherala,Kami
Sadasankar,Kami
Sapkota,Kami
Sani,Kami
Sundhuwa,Kami
Sunchyuri,Kami
Singaure,Kami
Sijapati,Kami
Sirpali,Kami
Suni,Kami
Setipar,Kami
Mahara,Kami
Setisural,Kami
Sonam,Kami
Himchyuriÿ,Kami
Palla,Kami
Parajuli,Kami
Padhyawati,Kami
Pagri,Kami
Pulami,Kami
Pokharel,Kami
Asasai,Damai
Aauji,Damai
Kandel,Damai
Katuwal,Damai
Karki,Damai
Kalakhati,Damai
Guinde,Damai
Gotame,Damai
Ghatani,Damai
Ghale,Damai
Chahar,Damai
Chuhan,Damai
Chhinal,Damai
Jairu,Damai
Thagunna,Damai
Thatal,Damai
Daunde,Damai
Dholi ,Damai
Dhyaki,Damai
Tiwari,Damai
Thapa,Damai
Darnal,Damai
Pariyar,Damai
Parel,Damai
Das,Damai
Deukar,Damai
Dewal,Damai
Nagwag,Damai
Nagwan,Damai
Nagarchi,Damai
Negi,Damai
Nepal,Damai
Naubag,Damai
Pariyar,Damai
Panchkoti,Damai
Bahak,Damai
Pokharel,Damai
Bagchan,Damai
Bagdas,Damai
Budhapothi,Damai
Boodhaprithi,Damai
Baiju,Damai
Bhandari,Damai
Bhitrikoti,Damai
Bhusal,Damai
Magar,Damai
Mahate,Damai
Mahara,Damai
Male,Damai
Ranpal,Damai
Ranpahenli,Damai
Ratna,Damai
Pariyar,Damai
Rana,Damai
Raigain,Damai
Raika,Damai
Ryainjhyain,Damai
Lamghate,Damai
Luintel,Damai
Shinal,Damai
Shilal,Damai
Shiwa,Damai
Samudrasai,Damai
Sunal,Damai
Sunam,Damai
"Sunam,ÿ",Damai
Sunchyuri,Damai
Sudas,Damai
Sasmundra,Damai
Shahassamudra,Damai
Sooji,Damai
Hingmang,Damai
Hudke,Damai
Bardewa,Damai
Achhami,Sarki
Uparkoti,Sarki
Upreti,Sarki
Kamar,Sarki
Koirala,Sarki
Khatiwada,Sarki
Giri,Sarki
Gaire,Sarki
Gairepipan,Sarki
Gothe,Sarki
Ghimire,Sarki
Chamar,Sarki
Chudal,Sarki
Chuhan,Sarki
Chhatkuli,Sarki
Thagunna,Sarki
Chhamarki,Sarki
Thakursya,Sarki
Thararai,Sarki
Dale,Sarki
Tolangi,Sarki
Thapaliya,Sarki
Thak,Sarki
Daulakoti,Sarki
Dabe,Sarki
Dahal,Sarki
Dulal,Sarki
Dhamel,Sarki
Naghali,Sarki
Pahenli,Sarki
Purkoti,Sarki
Batsyal,Sarki
Bamrel,Sarki
Bayalkoti,Sarki
Bastakoti,Sarki
Bisunkhe,Sarki
Bogati,Sarki
Bhangyal,Sarki
Bheyanl,Sarki
Bhurtel,Sarki
Mangrati,Sarki
Majboti,Sarki
Malbule,Sarki
Malbok,Sarki
Mudel,Sarki
Ramtel,Sarki
Ruchal,Sarki
Roila,Sarki
Rokka,Sarki
Lamjel,Sarki
Lamsal,Sarki
Shahi,Sarki
Shrimati,Sarki
Sarmaute,Sarki
Siraute,Sarki
Surkheni,Sarki
Suyenl,Sarki
Sejwal,Sarki
Hitang,Sarki
Adhikari,Gaine
Kami,Gaine
Kaushik,Gaine
Poudel,Gaine
Kalichan,Gaine
Gosai,Gaine
Jogi,Gaine
Thakuri,Gaine
Turki,Gaine
Bahun,Gaine
Budhathoki,Gaine
Baikar,Gaine
Baistha,Gaine
Meghnath,Gaine
Bishwakarma,Gaine
Bishnupad,Gaine
Samudri,Gaine
Sai,Gaine
Sursaman,Gaine
Setaparbate,Gaine
Setichan,Gaine
Hukchingranaÿ,Gaine
Bogate,Gaine
Bhusal,Gaine
Bhusalparbate,Gaine
Maheshwar,Gaine
Amatya,Newar
Awa,Newar
Awal,Newar
Awale,Newar
Balami,Newar
Bania,Newar
Banmala,Newar
Bha,Newar
Bhaju,Newar
Bhikshu,Newar
Byanjankar,Newar
Chamkhalak,Newar
Chitrakar,Newar
Chyame,Newar
Dali,Newar
Dangol,Newar
Darshandhari,Newar
Deola,Newar
Desar,Newar
Gurju,Newar
Guruvacharya,Newar
Hada,Newar
Halahulu,Newar
Halwai,Newar
Joshi,Newar
Ka:mi,Newar
Kakchapati,Newar
Kansakar,Newar
Kapali,Newar
Karanjit,Newar
Karmacharya,Newar
Kayastha,Newar
Khadgi,Newar
Kulu,Newar
Kumah,Newar
Kumhal,Newar
Kusle,Newar
Lakhey,Newar
Halwai,Newar
Maharjan,Newar
Malakar,Newar
